DHT-ST3;;;
Kommentar einfügen;;;
Date and Time;Batch Age;I: TempK;I: Druck X
DDD MMM D HH:MM:SS JJJJ;h;°C;mbar
Fri Sep 30 12:18:30 2016;0,534722;24,8;2,47192
Fri Sep 30 12:18:35 2016;0,536111;24,8;3,38745
Fri Sep 30 12:18:40 2016;0,5375;24,8;3,38745
Fri Sep 30 12:18:45 2016;0,538889;24,8;0,946045
Fri Sep 30 12:18:50 2016;0,540278;24,8;3,23486
Fri Sep 30 12:18:55 2016;0,541667;24,8;3,38745
Fri Sep 30 12:19:00 2016;0,543056;24,8;4,60839
Fri Sep 30 12:19:05 2016;0,544444;24,8;2,7771
Fri Sep 30 12:19:10 2016;0,545833;24,8;2,92969
Fri Sep 30 12:19:15 2016;0,547222;24,8;3,99804
Fri Sep 30 12:19:20 2016;0,548611;24,9;3,54004
Fri Sep 30 12:19:25 2016;0,55;24,9;5,37133
Fri Sep 30 12:19:30 2016;0,551389;24,9;2,16675
Fri Sep 30 12:19:35 2016;0,552778;24,9;2,01416
Fri Sep 30 12:19:40 2016;0,554167;24,9;2,47192
Fri Sep 30 12:19:45 2016;0,555556;24,9;3,84521
Fri Sep 30 12:19:50 2016;0,556944;24,9;2,62451
Fri Sep 30 12:19:55 2016;0,558333;24,9;3,38745
Fri Sep 30 12:20:00 2016;0,559722;24,9;2,92969
Fri Sep 30 12:20:05 2016;0,561111;24,9;2,7771
Fri Sep 30 12:20:10 2016;0,5625;24,9;3,84521
Fri Sep 30 12:20:15 2016;0,563889;24,9;3,69263
Fri Sep 30 12:20:20 2016;0,565278;24,9;2,92969
Fri Sep 30 12:20:25 2016;0,566667;24,9;2,92969
Fri Sep 30 12:20:30 2016;0,568056;24,9;3,54004
Fri Sep 30 12:20:35 2016;0,569444;24,9;3,69263
Fri Sep 30 12:20:40 2016;0,570833;24,9;2,01416
Fri Sep 30 12:20:45 2016;0,572222;24,9;3,23486
Fri Sep 30 12:20:50 2016;0,573611;24,9;3,69263
Fri Sep 30 12:20:55 2016;575;24,9;3,84521
Fri Sep 30 12:21:00 2016;0,576389;24,9;3,38745
Fri Sep 30 12:21:05 2016;0,577778;24,9;1,86157
Fri Sep 30 12:21:10 2016;0,579167;24,9;2,47192
Fri Sep 30 12:21:15 2016;0,580556;24,9;2,7771
Fri Sep 30 12:21:20 2016;0,581944;24,9;2,47192
Fri Sep 30 12:21:25 2016;0,583333;24,9;3,23486
