DHT_ST4;;;
Kommentar einf�gen;;;
Date and Time;Batch Age;I: TempK;I: Druck X
DDD MMM D HH:MM:SS JJJJ;h;ﾰC;mbar
Fri Sep 30 02:12:48 2016;0,6375;25;1208,87
Fri Sep 30 02:12:53 2016;0,638889;23;1211,31
Fri Sep 30 02:12:58 2016;0,640278;27;1210,39
Fri Sep 30 02:13:03 2016;0,641667;23;1209,63
Fri Sep 30 02:13:08 2016;0,643056;26;1211,16
Fri Sep 30 02:13:13 2016;0,644444;26;1211,31
Fri Sep 30 02:13:18 2016;0,645833;27;1209,63
Fri Sep 30 02:13:23 2016;0,647222;23;1211,62
Fri Sep 30 02:13:28 2016;0,648611;26;1210,55
Fri Sep 30 02:13:33 2016;0,65;27;1209,94
Fri Sep 30 02:13:38 2016;0,651389;26;1211,46
Fri Sep 30 02:13:43 2016;0,652778;27;1209,63
Fri Sep 30 02:13:48 2016;0,654167;23;1210,24
Fri Sep 30 02:13:53 2016;0,655556;23;1209,17
Fri Sep 30 02:13:58 2016;0,656944;23;1211,77
Fri Sep 30 02:14:03 2016;0,658333;23;1209,33
Fri Sep 30 02:14:08 2016;0,659722;25;1210,85
Fri Sep 30 02:14:13 2016;0,661111;26;1211,01
Fri Sep 30 02:14:18 2016;0,6625;25;1210,24
Fri Sep 30 02:14:23 2016;0,663889;27;1210,24
Fri Sep 30 02:14:28 2016;0,665278;24;1209,63
Fri Sep 30 02:14:33 2016;0,666667;23;1210,24
Fri Sep 30 02:14:38 2016;0,668056;27;1208,87
Fri Sep 30 02:14:43 2016;0,669444;27;1209,78
Fri Sep 30 02:14:48 2016;0,670833;24;1209,17
Fri Sep 30 02:14:53 2016;0,672222;27;1210,24
Fri Sep 30 02:14:58 2016;0,673611;24;1209,63
Fri Sep 30 02:15:03 2016;0,675;23;1209,17
Fri Sep 30 02:15:08 2016;0,676389;25;1209,48
Fri Sep 30 02:15:13 2016;0,677778;23;1209,78
Fri Sep 30 02:15:18 2016;0,679167;25;1209,17
Fri Sep 30 02:15:23 2016;0,680556;23;1209,48
Fri Sep 30 02:15:28 2016;0,681944;24;1210,85
Fri Sep 30 02:15:33 2016;0,683333;24;1208,26
Fri Sep 30 02:15:38 2016;0,684722;23;1210,7
Fri Sep 30 02:15:43 2016;0,686111;23;1209,63
Fri Sep 30 02:15:48 2016;0,6875;27;1208,72
Fri Sep 30 02:15:53 2016;0,688889;27;1211,62
Fri Sep 30 02:15:58 2016;0,690278;23;1209,02
Fri Sep 30 02:16:03 2016;0,691667;26;1209,48
Fri Sep 30 02:16:08 2016;0,693056;27;1210,55
Fri Sep 30 02:16:13 2016;0,694444;27;1209,94
Fri Sep 30 02:16:18 2016;0,695833;26;1209,48
Fri Sep 30 02:16:23 2016;0,697222;23;1208,72
Fri Sep 30 02:16:28 2016;0,698611;27;1209,33
